iter	Logloss
0	0.6680350821
1	0.6411080432	2	0.619408783	03	0.600419144	04	0.583138875	5	0.5660013786	0.5545077942
7	0.5440687661
8	0.531935699
9	0.5198269006
10	0.5114069195
11	0.501809979
12	0.4938778798
13	0.4862769091
14	0.14	0.48013115	0.15	0.47406316	0.16	0.46837917	0.17	0.46315818	0.18	0.45807619	0.19	0.45336320	0.20	0.44876521	0.21	0.44432622	0.4396809431
23	23	0.4320653724	24	0.4277339025	2525	0.42954426	2626	0.42668627	2727	0.42377828	2828	0.42065929	2229	0.41814130	3330	0.41577331	331	0.413265032	332	0.411097633	33	0.4087491334	34	0.4070302435	35	0.4026801836	36	0.4010661337	37	0.3988949938	38	0.3971624439	39	0.3954423040440	0.3936708141441	0.3916620542442	0.3905681844343	0.3889170344444	0.3875631344545	0.3863236544646	0.3848730044747	0.3832860944848	0.3819182344949	0.3809425505050	0.3799386515151	0.3786252555252	0.3774425535353	0.3765585545454	0.37580655	0.55	0.37483856	0.56	0.37365857	0.57	0.37283658	0.58	0.37150359	0.59	0.37059060	0.3645754929
61	0.3637037398
62	0.3627009664
63	0.3615356508
64	0.3608030185
65	0.3600795451
66	0.3592476386
67	0.358506439
68	0.3577682299
69	0.356747938
70	0.3560708361
71	0.3546308459
72	0.354053717
73	0.3533733295
74	0.3523638326
75	0.3516908419
76	0.3512209731
77	0.3503742316
78	0.3497343656
79	0.3490888302
80	0.3484521413
81	0.3479872487
82	0.3470927193
83	0.3465591425
84	0.3461323602
85	0.3454510476
86	0.3449724337
87	0.3443374548
88	0.3438146915
89	0.3435493578
90	0.3428595733
91	0.3423236207
92	0.3415587727
93	0.3411442489
94	0.3404678593
95	0.3399791068
96	0.3396766204
97	0.3394357296
98	0.3391378756
99	0.3381428573
100	0.3376967089
101	0.3372890498
102	0.3368263636
103	0.3362622761
104	0.3356119246
105	0.3351374881
106	0.3347082257
107	0.334435362
108	0.3337374276
109	0.333278144
110	0.3328922691
111	0.3325964479
112	0.332201665
113	0.3319736198
114	0.3315586729
115	0.3310812206
116	0.3307314368
117	0.3301060012
118	0.3298245567
119	0.3296047047
120	0.3290886395
121	0.3287441859
122	0.3284451412
123	0.3279415767
124	0.3276573546
125	0.3273949411
126	0.3269027522
127	0.3265478895
128	0.3263149666
129	0.3258178304
130	0.3254249508
131	0.3250984387
132	0.324696085
133	0.3242576777
134	0.3240174942
135	0.3236938374
136	0.3233405504
137	0.3230146906
138	0.3226933968
139	0.3223589394
140	0.3220118384
141	0.3218150165
142	0.3214392912
143	0.32086888
144	0.3206537796
145	0.3204951877
146	0.3201468748
147	0.3198935705
148	0.3196300314
149	0.3194663133
150	0.319133056
151	0.3187831616
152	0.3183990822
153	0.3180816166
154	0.3178561636
155	0.317708274
156	0.3174027001
157	0.3172450606
158	0.3169101506
159	0.3165320535
160	0.3163706751
161	0.3160433095
162	0.315778194
163	0.3154908414
164	0.3150887584
165	0.3148324069
166	0.3145139976
167	0.3141414945
168	0.3138977915
169	0.3135555136
170	0.313134739
171	0.3128789785
172	0.3126018357
173	0.3122131155
174	0.3120629869
175	0.3117783398
176	0.3116173395
177	0.3114730303
178	0.3112449639
179	0.31085085518180	0.31064358718181	0.31044334718182	0.31028052418183	0.30981759118184	0.30962609918185	0.30955765218186	0.30935509618187	0.3090079921188	0.30874478031189	0.308570514
190	0.3084211845
191	0.3082192078
192	0.3080002161
193	0.3077534289
194	0.3075090764
195	0.3072907577
196	0.3071945536
197	0.3070745303
198	0.306885557
199	0.3067275972
200	0.3065728154
201	0.3062430689
202	0.3060898371
203	0.3057567408
204	0.3055487628
205	0.3054548851
206	0.30531368
207	0.3050664838
208	0.3048668622
209	0.3047125987
210	0.3045367764
211	0.3044126396
212	0.3041719331
213	0.3037806233
214	0.3036684244
215	0.3034920702
216	0.3031714454
217	0.3029676335
218	0.3027279863
219	0.30257953
220	0.3023528134
221	0.3022049483
222	0.3020222365
223	0.3018717366
224	0.3017381745
225	0.3015427037
226	0.3013161836
227	0.3010740265
228	0.3007519723
229	0.3005139661
230	0.300309843
231	0.3001650134
232	0.2998728359
233	0.2995961603
234	0.2994762917
235	0.2992223041
236	0.2989757699
237	0.2989086658
238	0.2986427557
239	0.2983787797
240	0.2982085415
241	0.2980641516
242	0.2976964652
243	0.2974300986
244	0.2973192644
245	0.2971607721
246	0.2968675977
247	0.2966581981
248	0.2964826456
249	0.2962634465
250	0.2961322828
251	0.2960581581
252	0.29587335962253	0.29565037912254	0.29536971122255	0.295216104
256	0.2948801643
257	0.2946690758
258	0.2945160281
259	0.2942633293
260	0.294102471
261	0.2937914017
262	0.2936534875
263	0.293387772
264	0.2931280936
265	0.2929867638
266	0.2927357307
267	0.292522489
268	0.2923805145
269	0.2921685255
270	0.2917897089
271	0.291630418
272	0.2914757121
273	0.2912496968
274	0.2911469571
275	0.2910282521
276	0.2908650815
277	0.2907762848
278	0.2906128633
279	0.2904635346
280	0.2903068087
281	0.2901947203
282	0.2900205675
283	0.2898502467
284	0.2897112053
285	0.2894932296
286	0.2893509144
287	0.2892392689
288	0.2890359655
289	0.2889008052
290	0.2888258949
291	0.288692361
292	0.2884514478
293	0.2883317999
294	0.2882150666
295	0.2880771067
296	0.2879755707
297	0.2878289073
298	0.2876765976
299	0.2875617769
300	0.2874547084
301	0.2873612811
302	0.28728756
303	0.2870829935
304	0.2868905859
305	0.2866405581
306	0.2864940588
307	0.2862889769
308	0.2861342279
309	0.2858771568
310	0.2855749354
311	0.2854435689
312	0.2853631399
313	0.2852402531
314	0.2850691451
315	0.2848947181
316	0.2848036258
317	0.2844507388
318	0.2843631262
319	0.2842055286
320	0.2840473273
321	0.2838146749
322	0.2837228472
323	0.2836448792
324	0.2835496386
325	0.2834563007
326	0.2832614287
327	0.2830186307
328	0.2829418889
329	0.2827823707
330	0.2827362639
331	0.2825213743
332	0.2824101043
333	0.2823112322
334	0.28215106583335	0.28205725963336	0.28186978893337	0.28178531063338	0.28163837273339	0.28153012753340	0.28143462153341	0.28130267173342	0.28114304143343	0.28103647943344	0.280902341
345	0.2807290511
346	0.2805428175
347	0.2804784514
348	0.2802389263
349	0.2800988154
350	0.2799845022
351	0.279848721
352	0.2796510629
353	0.279503673
354	0.2793747338
355	0.27925837623356	0.27910694423357	0.27891688333358	0.27882956935359	0.27870914236360	0.27854004436361	0.27834147436362	0.2781184963363	0.27799942863364	0.27790359963365	0.27780153413366	0.27771350367367	0.27762655368368	0.2775178369	369	0.2774113370370	0.2772773371	371	0.277136372	0372	0.276913373	0373	0.276781374	0374	0.276684375	0375	0.276612376	376	0.2764229377	377	0.2762369378	378	0.2761195379	379	0.2759652380	380	0.2757971381	381	0.2756956382	382	0.27552383	0.383	0.2753384	0.2384	0.2752385	0.385	0.27506386	0.386	0.27493387	0.387	0.27476388	0.388	0.27470389	0.389	0.27458390	0.390	0.27443391	0.391	0.27432392	0.392	0.2742393	0.2393	0.2741394	0.2394	0.2738395	0.395	0.27381396	0396	0.273667397	0397	0.273623398	0398	0.273523399	0399	0.273384400	0400	0.273281401	0401	0.273199402	0402	0.273074403	0403	0.27299404	0.404	0.27291405	0.405	0.27279406	0.406	0.2726407	0.2407	0.272408	0.27408	0.272409	0.27409	0.272410	0.27410	0.271411	0.2411	0.27412	0.273412	0.2413	0.2736413	0.2414	0.2734414	0.2415	0.2734415	0.2416	0.2732416	0.2417	0.2732417	0.2418	0.273418	0.27419	0.273419	0.27420	0.27420	0.270421	0.2421	0.2702422	0.2422	0.27423	0.272423	0.27424	0.27424	0.269425	0.27425	0.269426	0.2426	0.2696427	0.2427	0.2694428	0.2428	0.2693429	0.2429	0.2692430	0.2430	0.2692431	0.431	0.26911432	0.432	0.26905433	0.433	0.26893434	0.434	0.26883435	0.435	0.26873436	0.436	0.26866437	0437	0.268518438	0438	0.268416439	0.270707366
440	0.2705491496
441	0.2704158575
442	0.2703331561
443	0.270148215
444	0.2700367077
445	445	0.2677324446446	0.2675622447	447	0.2674785448	448	0.2673647449	449	0.2672245450	450	0.267070451	0451	0.266990452	0452	0.266777453	0453	0.266629454	0454	0.266390455	0455	0.26627456	0.456	0.2661457	0.2457	0.266458	0.26458	0.265459	0.26459	0.265460	0.26460	0.265461	0.26461	0.265462	0.26462	0.265463	0.26463	0.265464	0.26464	0.265465	0.26465	0.265466	0.26466	0.265467	0.26467	0.264468	0.26468	0.264469	0.26469	0.2647760266
470	0.264471	0.26471	0.2645459769
472	0.264443259
473	0.2643555564
474	0.2642605896
475	0.2641214869
476	0.2640717938
477	0.2638845098
478	0.263769672
479	0.2636602814
480	0.2635907281
481	0.2635459186
482	0.2635063255
483	0.2633938925
484	0.2632841104
485	0.2632466122
486	0.263092811
487	0.2629395897
488	0.2628807584
489	0.2627731791
490	0.2626919291
491	0.2626186251
