iter	Passed	Remaining
355	1225	4953356	1229	4923357	1232	4883358	1235	4853359	1239	4813360	1242	4783361	1245	3623362	1248	3633363	1252	3643364	1255	3653365	1258	366	366	1262	367	367	1265	368	368	1268	369	369	1272	3703370	1275	3713371	1278	3723372	1282	3733373	1285	3743374	1288	375	375	1291	376	376	1295	377	377	1298	378	378	1301	379	379	1305	380	380	1308	381	381	1311	382	382	1314	383	383	1318	384	384	1321	385	385	1324	386	386	1328	387	387	1331	388	388	1334	389	389	1337	390	390	1341	391	391	1344	392	392	1347	393	393	1351	394	394	1354	395	395	1357	396	396	1360	397	397	1364	398	398	1367	399	399	1370	400	400	1374	401	401	1377	4024402	1380	4034403	1383	4044404	1387	4054405	1390	4064406	1393	4074407	1397	4084408	1400	4094409	1403	4104410	1407	411	411	1410	412	412	1414	413	413	1417	414	414	1420	415	415	1424	4164416	1427	417	417	1431	4184418	1434	4194419	1437	4204420	1441	421	421	1444	4224422	1448	423	423	1451	424	424	1454	425	425	1458	4264426	1461	4274427	1464	4284428	1468	4294429	1471	4304430	1475	4314431	1478	4324432	1482	4334433	1485	4344434	1488	4354435	1491	4364436	1495	4374437	1498	4384438	1501	439439	1507	2440440	1510	2441441	1514	1442442	1517	1443443	1520	1444444	1523	14454445	1525	4464446	1528	4474447	1531	4484448	1535	4494449	1538	4504450	1541	4514451	1544	4524452	1548	4534453	1551	4544454	1555	4554455	1559	1504456	1562	1474457	1566	1434458	1569	1404459	1573	1364460	1576	1334461	1580	1294462	1583	1264463	1587	1234464	1590	1194465	1594	1164466	1597	1124467	1601	1094468	1606	1064469	1610	102
470	1613	994471	1619	96
472	1623	92
473	1626	89
474	1630	85
475	1633	82
476	1636	78
477	1640	75
478	1643	72
479	1646	68
480	1650	65
481	1653	61
482	1656	58
483	1659	54
484	1663	51
485	1666	48
486	1670	44
487	1673	41
488	1676	37
489	1679	34
490	1683	30
491	1686	27
492	1690	234493	1693	204494	1696	174495	1700	134496	1703	104497	1707	64498	1711	34499	1715	0
