iter	MultiClass
0	1.385544542
1	1.147268009
2	0.9802817182
3	0.8485135823
4	0.7463325163
5	0.6624882095
6	0.5926020169
7	0.5329912464
8	0.4828392406
9	0.4394512887
10	0.4019470229
11	0.368292943
12	0.33913126
13	0.3133546619
14	0.2898830374
15	0.2697406095
16	0.250460997
17	0.23450149
18	0.2198339029
19	0.2069863336
20	0.1950056417
21	0.1848862301
22	0.1736415382
23	0.1641541688
24	0.1556894098
25	0.1483015453
26	0.1408472765
27	0.1348428906
28	0.1295270878
29	0.1243470726
30	0.1188175121
31	0.1145648603
32	0.1105235071
33	0.1063030254
34	0.1026376904
35	0.09900442271
36	0.09608183784
37	0.09368781713
38	0.09160732142
39	0.08920233492
40	0.08705677601
41	0.08541946978
42	0.08338829504
43	0.0819724113
44	0.08021609878
45	0.07804917407
46	0.07620216067
47	0.07479018957
48	0.07339165789
49	0.07174190346
50	0.0704681868
51	0.06945856752
52	0.06864383001
53	0.06770673285
54	0.06641864386
55	0.06530192669
56	0.06454974245
57	0.06348561627
58	0.06268239027
59	0.06193929938
60	0.06081393903
61	0.06011618806
62	0.0593797489
63	0.05868462724
64	0.05810594955
65	0.05722083919
66	0.05648551225
67	0.05598568377
68	0.05564619675
69	0.05504682387
70	0.05453354167
71	0.05394417572
72	0.05340975932
73	0.05281825703
74	0.05219145582
75	0.05167983582
76	0.05121222744
77	0.05078587022
78	0.05056165268
79	0.05018283124
80	0.04986050344
81	0.0493747838
82	0.04880871704
83	0.04826809119
84	0.04796406844
85	0.04754732215
86	0.04725242093
87	0.04683651884
88	0.04652730484
89	0.04625366165
90	0.04590809542
91	0.04549043827
92	0.04525771039
93	0.04478185394
94	0.04450301942
95	0.04406382029
96	0.0438481015
97	0.04359256955
98	0.04317969008
99	0.04292210196
100	0.04260398109
101	0.04228151894
102	0.0419761899
103	0.0415773517
104	0.04141401409
105	0.04126216273
106	0.04088946468
107	0.04064567007
108	0.04035124732
109	0.04005103169
110	0.03987520808
111	0.03965660403
112	0.03933667408
113	0.03902424519
114	0.0385881376
115	0.03839442588
116	0.03819567977
117	0.03802855826
118	0.03794457001
119	0.03773139906
120	0.03748989846
121	0.0372186638
122	0.0370350311
123	0.03683371793
124	0.03663276852
125	0.03643665605
126	0.03626959609
127	0.03608370034
128	0.03581204281
129	0.03557927447
130	0.03538542654
131	0.03529779904
132	0.03523154343
133	0.03513488966
134	0.03487730821
135	0.03476844363
136	0.03466523773
137	0.03443065569
138	0.03415413239
139	0.03395509926
140	0.03375634157
141	0.03359819979
142	0.03350495312
143	0.03329359999
144	0.03312688794
145	0.03305444844
146	0.03285481713
147	0.03268885114
148	0.03262496754
149	0.03237847772
