iter	Logloss
0	0.6435783447
1	0.6007474176
2	0.5677984128
3	0.5356070931
4	0.5160474351
5	0.4974141289
6	0.4845392194
7	0.4778950429
8	0.4648302809
9	0.4541637939
10	0.4477762603
11	0.4430336958
12	0.436957716
13	0.43103475
14	0.4251917411
15	0.4220897546
16	0.4156395708
17	0.4104261394
18	0.4031625873
19	0.4002896377
20	0.396284593
21	0.3924397235
22	0.3897737743
23	0.3882965548
24	0.3844376736
25	0.382806956
26	0.3810132261
27	0.378549032
28	0.3759927267
29	0.3732353747
30	0.371755024
31	0.3701896136
32	0.3680597391
33	0.366018294
34	0.3644484189
35	0.3624911045
36	0.361240119
37	0.3609127864
38	0.3593970019
39	0.3588319364
40	0.357767005
41	0.356851209
42	0.3554792535
43	0.3541339218
44	0.3526351949
45	0.3517900358
46	0.3510424955
47	0.3502053366
48	0.349154574
49	0.3479995981
50	0.3472334546
51	0.3463304192
52	0.3452975421
53	0.3449442804
54	0.3439311828
55	0.3429279501
56	0.3422675118
57	0.3416877204
58	0.3412734924
59	0.3402389788
60	0.3397721507
61	0.3391995576
62	0.3384146894
63	0.3378672028
64	0.3374490305
65	0.337206845
66	0.3367300108
67	0.3359860977
68	0.3355315664
69	0.334375902
70	0.334111276
71	0.3336576661
72	0.333518165
73	0.3329481279
74	0.3326934271
75	0.3321767022
76	0.3316205147
77	0.3312172548
78	0.3308157056
79	0.3303471779
80	0.3301457054
81	0.3299261173
82	0.3297957897
83	0.3295326337
84	0.3287872778
85	0.3278631292
86	0.3275869492
87	0.3270727829
88	0.3264604466
89	0.3259892068
90	0.3253477394
91	0.3253478181
92	0.324795955
93	0.3243775256
94	0.3241082296
95	0.3238205385
96	0.3235504894
97	0.3229142741
98	0.3219886967
99	0.3213294518
100	0.3208514546
101	0.3205084656
102	0.3201101511
103	0.3190604597
104	0.318406428
105	0.3180309273
106	0.3174119843
107	0.316810421
108	0.3164374571
109	0.3159771556
110	0.3154304375
111	0.3145880773
112	0.3140428888
113	0.313594393
114	0.3129666319
115	0.312490361
116	0.3117585847
117	0.3109456224
118	0.3104806061
119	0.3100584568
120	0.3096868385
121	0.3089669671
122	0.3083833266
123	0.3079811861
124	0.3069079374
125	0.3065071712
126	0.305922221
127	0.3055442718
128	0.305287537
129	0.3049310024
130	0.3043595632
131	0.303901234
132	0.3035547205
133	0.3029803571
134	0.3025791529
135	0.3021499081
136	0.3018108637
137	0.3011178186
138	0.300585612
139	0.3002545006
140	0.2999499922
141	0.2994616344
142	0.2989590378
143	0.2983691614
144	0.2978778266
145	0.2975044364
146	0.2970278687
147	0.2965722069
148	0.2961058743
149	0.2953954895
150	0.2946446847
151	0.2943910359
152	0.2941131349
153	0.29380028
154	0.2934938413
155	0.2929056104
156	0.2921692383
157	0.2918989207
158	0.2916344723
159	0.2913877662
160	0.2910832704
161	0.290749861
162	0.2902816191
163	0.2898305115
164	0.2890660659
165	0.2886604758
166	0.2882704979
167	0.2876694329
168	0.2871086343
169	0.2868704911
170	0.2865103225
171	0.2860095808
172	0.285711974
173	0.2855039373
174	0.2852213547
175	0.2850282306
176	0.2847852146
177	0.2843125867
178	0.2840461378
179	0.2837042377
180	0.283362322
181	0.2829355203
182	0.2827577084
183	0.2824815134
184	0.2822871514
185	0.2817851907
186	0.2816029104
187	0.2813292899
188	0.2810473616
189	0.2807659715
190	0.2804928856
191	0.2800689175
192	0.27962337
193	0.2792929334
194	0.2789930182
195	0.278808045
196	0.2786184297
197	0.2784397162
198	0.2780423526
199	0.2777898039
200	0.2774702461
201	0.2771284834
202	0.2769538042
203	0.2765604942
204	0.2763409091
205	0.2761489922
206	0.2757858514
207	0.2755442854
208	0.2753916758
209	0.2750214011
210	0.2748274189
211	0.2744670105
212	0.2740693603
213	0.2739161793
214	0.2735919567
215	0.2734153911
216	0.2731493918
217	0.2729164998
218	0.2727909352
219	0.2725542633
220	0.272263587
221	0.2721267002
222	0.2718766343
223	0.2717419892
224	0.2715600053
225	0.271330161
226	0.2711554219
227	0.271017347
228	0.2706995038
229	0.2703412409
230	0.2701926
231	0.2698425443
232	0.2696145436
233	0.26924537
234	0.2690687372
235	0.2689874762
236	0.2688421123
237	0.2686815448
238	0.2685754744
239	0.2684533714
240	0.268297719
241	0.2680740933
242	0.2678772224
243	0.2677333073
244	0.267543861
245	0.2673265988
246	0.2671147565
247	0.2670098889
248	0.2668040472
249	0.2666521165
250	0.2664051061
251	0.2661889132
252	0.2658793866
253	0.2655607199
254	0.2652401393
255	0.2649216636
256	0.2648274563
257	0.2645941655
258	0.2645052715
259	0.2642879593
260	0.2641158885
261	0.2639319722
262	0.2636569879
263	0.2633575199
264	0.2630263026
265	0.2629101517
266	0.262691777
267	0.2625633985
268	0.2624411899
269	0.2623472005
270	0.2622010477
271	0.2619962414
272	0.2618462444
273	0.2617293954
274	0.2616247649
275	0.2613487627
276	0.2612184606
277	0.2610516378
278	0.2606867691
279	0.2604852728
280	0.2602865384
281	0.2601946448
282	0.2600370083
283	0.2599588401
284	0.2598245747
285	0.2596603049
286	0.2595679807
287	0.2593805416
288	0.2592603561
289	0.2590442508
290	0.2588334976
291	0.258667854
292	0.258461735
293	0.2582078133
294	0.2580417017
295	0.2578629461
296	0.2575167069
297	0.257391335
298	0.2572416535
299	0.2570445991
300	0.2569294141
301	0.2568340121
302	0.2566682056
303	0.2565612832
304	0.2564621217
305	0.2562092674
306	0.2560285664
307	0.2558417796
308	0.2556391017
309	0.255382984
310	0.2550658469
311	0.2548948958
312	0.2547774151
313	0.2545976374
314	0.2544726824
315	0.2543716957
316	0.2540152924
317	0.2539222506
318	0.2538292134
319	0.2536143056
320	0.2534777858
321	0.2533118859
322	0.2531834846
323	0.2531095825
324	0.2527413127
325	0.2526656639
326	0.2523697617
327	0.2522173182
328	0.2519704483
329	0.2517818827
330	0.2516344957
331	0.2515069591
332	0.2513719837
333	0.2511655654
334	0.2510931981
335	0.2509920965
336	0.2507633025
337	0.2505665995
338	0.2504438106
339	0.2503579191
340	0.2500658006
341	0.2499928934
342	0.2498175044
343	0.2497433451
344	0.2496296631
345	0.2494771231
346	0.2493300349
347	0.2491388999
348	0.2489704624
349	0.2487236087
350	0.2486507706
351	0.2485574773
352	0.2484716747
353	0.2482688066
354	0.2480288823
355	0.2478368679
356	0.2477019796
357	0.2475357712
358	0.2473848917
359	0.2473197819
360	0.2470861562
361	0.2469296895
